CHAIN,SATURATION,CHAIN_COLOUR,SATURATION_COLOUR,SATURATION_ORDER,CHAIN_ORDER
6_0,Sat,#99ff33,#666666,2,19
8_0,Sat,#6600cc,#666666,2,18
10_0,Sat,#339900,#666666,2,17
12_0,Sat,#993399,#666666,2,16
14_0,Sat,#cc0066,#666666,2,15
16_0,Sat,#0099ff,#666666,2,14
18_0,Sat,#FFCC00,#666666,2,13
20_0,Sat,#66CC00,#666666,2,12
22_0,Sat,#3333ff,#666666,2,11
24_0,Sat,#ff00ff,#666666,2,10
16_1,Unsat,#9966ff,#cccccc,1,9
18_1,Unsat,#ff3333,#cccccc,1,8
18_2,Unsat,#666666,#cccccc,1,7
18_3,Unsat,#006699,#cccccc,1,6
20_4,Unsat,#00ff99,#cccccc,1,5
20_5,Unsat,#ffff33,#cccccc,1,4
22_1,Unsat,#ccccff,#cccccc,1,3
22_6,Unsat,#996600,#cccccc,1,2
24_1,Unsat,#33ffff,#cccccc,1,1
